Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-04-08 23:30:00,,UTC-04:00,77,46,133,32.64,97.43,,,,,2025-04-08 23:30:00,2025-04-09 07:10:57,81,15.8,405,460,196,93,116,55,498,24,88,70
2025-04-07 23:14:55,2025-04-08 23:30:00,UTC-04:00,76,47,125,33.19,97.35,6.7,2038,152,61,2025-04-07 23:14:55,2025-04-08 07:29:31,90,15.8,445,493,235,96,114,48,493,18,90,57
2025-04-06 23:09:05,2025-04-07 23:14:55,UTC-04:00,97,45,165,33.20,98.09,7.4,2044,143,61,2025-04-06 23:09:05,2025-04-07 07:44:24,94,16.1,442,508,192,87,163,66,470,0,87,41
2025-04-06 00:00:00,2025-04-06 23:09:05,UTC-04:00,,,,,,3.0,529,126,50,,,,,,,,,,,,,,
2025-04-04 23:35:33,2025-04-06 00:00:00,UTC-04:00,56,52,93,33.50,96.79,6.2,2060,143,55,2025-04-04 23:35:33,2025-04-05 10:52:19,100,16.1,619,674,386,89,144,55,504,33,91,58
2025-04-04 00:00:00,2025-04-04 23:35:33,UTC-04:00,,,,,,3.9,371,117,57,,,,,,,,,,,,,,
2025-04-02 22:58:51,2025-04-04 00:00:00,UTC-04:00,79,50,123,32.88,98.40,11.3,2580,165,63,2025-04-02 22:58:51,2025-04-03 07:29:18,90,16.3,470,510,300,57,113,40,522,42,92,65
2025-04-01 22:55:49,2025-04-02 22:58:51,UTC-04:00,74,48,121,33.09,97.79,9.7,2222,153,65,2025-04-01 22:55:49,2025-04-02 07:29:40,84,16.1,453,506,247,89,117,53,537,53,89,44
2025-03-31 23:21:10,2025-04-01 22:55:49,UTC-04:00,79,48,127,33.30,96.86,10.8,2257,159,66,2025-03-31 23:21:10,2025-04-01 07:30:00,80,16.4,419,485,235,82,102,66,527,32,86,30
2025-03-31 00:39:15,2025-03-31 23:21:10,UTC-04:00,,,,,,13.2,2174,164,78,,,,,,,,,,,,,,
2025-03-30 00:39:15,2025-03-31 00:39:15,UTC-04:00,,,,,,6.8,971,168,82,,,,,,,,,,,,,,
2025-03-29 00:39:15,2025-03-30 00:39:15,UTC-04:00,47,49,96,32.70,97.83,4.2,857,113,76,2025-03-29 00:39:15,2025-03-29 08:34:37,87,16.4,436,463,207,90,139,27,500,26,94,59
